#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AE7,,DIFFS,IO_L08N_4,UNUSED,,4,,,,,,,,,,
AE8,,DIFFM,IO_L08P_4,UNUSED,,4,,,,,,,,,,
AE9,,DIFFS,IO_L44N_4,UNUSED,,4,,,,,,,,,,
AE10,,DIFFM,IO_L44P_4,UNUSED,,4,,,,,,,,,,
AE11,,DIFFS,IO_L47N_4,UNUSED,,4,,,,,,,,,,
AE12,,DIFFM,IO_L47P_4,UNUSED,,4,,,,,,,,,,
AE13,,,GND,,,,,,,,,,,,,
AE14,,DIFFM,IO_L68P_4,UNUSED,,4,,,,,,,,,,
AE15,,DIFFM,IO_L73P_4,UNUSED,,4,,,,,,,,,,
AE16,,DIFFS,IO_L73N_5,UNUSED,,5,,,,,,,,,,
AE17,,DIFFS,IO_L68N_5,UNUSED,,5,,,,,,,,,,
AE18,,,GND,,,,,,,,,,,,,
AE19,,DIFFS,IO_L47N_5,UNUSED,,5,,,,,,,,,,
AE20,,DIFFM,IO_L47P_5,UNUSED,,5,,,,,,,,,,
AE21,,DIFFS,IO_L44N_5,UNUSED,,5,,,,,,,,,,
AE22,pc_data_o<13>,IOB,IO_L44P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE23,pc_data_o<0>,IOB,IO_L08N_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE24,pc_data_o<15>,IOB,IO_L08P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE25,,,GND,,,,,,,,,,,,,
AE26,pc_data_o<17>,IOB,IO_L31N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE27,pc_data_o<21>,IOB,IO_L33P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE28,,DIFFS,IO_L33N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AE29,pc_data_o<20>,IOB,IO_L39P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE30,,DIFFS,IO_L39N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AF1,,DIFFS,IO_L36N_3,UNUSED,,3,,,,,,,,,,
AF2,,DIFFM,IO_L36P_3,UNUSED,,3,,,,,,,,,,
AF3,,DIFFS,IO_L34N_3,UNUSED,,3,,,,,,,,,,
AF4,,DIFFM,IO_L34P_3,UNUSED,,3,,,,,,,,,,
AF5,,,GND,,,,,,,,,,,,,
AF6,,DIFFM,IO_L31P_3,UNUSED,,3,,,,,,,,,,
AF7,,DIFFM,IO_L01P_4/INIT_B,UNUSED,,4,,,,,,,,,,
AF8,,DIFFS,IO_L38N_4,UNUSED,,4,,,,,,,,,,
AF9,,DIFFM,IO_L38P_4,UNUSED,,4,,,,,,,,,,
AF10,,DIFFS,IO_L39N_4,UNUSED,,4,,,,,,,,,,
AF11,,IOB,IO_L50_4/No_Pair,UNUSED,,4,,,,,,,,,,
AF12,,DIFFS,IO_L56N_4,UNUSED,,4,,,,,,,,,,
AF13,,DIFFM,IO_L56P_4,UNUSED,,4,,,,,,,,,,
AF14,,DIFFS,IO_L69N_4,UNUSED,,4,,,,,,,,,,
AF15,,DIFFS,IO_L74N_4/GCLK3S,UNUSED,,4,,,,,,,,,,
AF16,,DIFFM,IO_L74P_5/GCLK4P,UNUSED,,5,,,,,,,,,,
AF17,,DIFFM,IO_L69P_5,UNUSED,,5,,,,,,,,,,
AF18,,DIFFS,IO_L56N_5,UNUSED,,5,,,,,,,,,,
AF19,,DIFFM,IO_L56P_5,UNUSED,,5,,,,,,,,,,
AF20,,IOB,IO_L50_5/No_Pair,UNUSED,,5,,,,,,,,,,
AF21,pc_data_o<12>,IOB,IO_L39P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF22,,DIFFS,IO_L38N_5,UNUSED,,5,,,,,,,,,,
AF23,pc_data_o<14>,IOB,IO_L38P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF24,pc_data_o<6>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF25,pc_data_o<7>,IOB,IO_L31P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF26,,,GND,,,,,,,,,,,,,
AF27,pc_data_o<9>,IOB,IO_L34P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF28,pc_data_o<19>,IOB,IO_L34N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF29,led_o<1>,IOB,IO_L36P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF30,,DIFFS,IO_L36N_6,UNUSED,,6,,,,,,,,,,
AG1,,DIFFS,IO_L06N_3,UNUSED,,3,,,,,,,,,,
AG2,,DIFFM,IO_L06P_3,UNUSED,,3,,,,,,,,,,
AG3,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,,
AG5,,DIFFS,IO_L02N_3,UNUSED,,3,,,,,,,,,,
AG6,,DIFFS,IO_L01N_4/DOUT,UNUSED,,4,,,,,,,,,,
AG7,,DIFFS,IO_L03N_4/D2,UNUSED,,4,,,,,,,,,,
AG8,,DIFFS,IO_L06N_4/VRP_4,UNUSED,,4,,,,,,,,,,
AG9,,,GND,,,,,,,,,,,,,
AG10,,DIFFM,IO_L39P_4,UNUSED,,4,,,,,,,,,,
AG11,,DIFFM,IO_L53_4/No_Pair,UNUSED,,4,,,,,,,,,,
AG12,,,GND,,,,,,,,,,,,,
AG13,,DIFFS,IO_L57N_4,UNUSED,,4,,,,,,,,,,
AG14,,DIFFM,IO_L69P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AG15,,DIFFM,IO_L74P_4/GCLK2P,UNUSED,,4,,,,,,,,,,
AG16,,DIFFS,IO_L74N_5/GCLK5S,UNUSED,,5,,,,,,,,,,
AG17,,DIFFS,IO_L69N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AG18,,DIFFM,IO_L57P_5,UNUSED,,5,,,,,,,,,,
AG19,,,GND,,,,,,,,,,,,,
AG20,,DIFFS,IO_L53_5/No_Pair,UNUSED,,5,,,,,,,,,,
AG21,,DIFFS,IO_L39N_5,UNUSED,,5,,,,,,,,,,
AG22,,,GND,,,,,,,,,,,,,
AG23,,DIFFM,IO_L06P_5/VRN_5,UNUSED,,5,,,,,,,,,,
AG24,,DIFFM,IO_L03P_5/D5,UNUSED,,5,,,,,,,,,,
AG25,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
AG26,pc_data_o<8>,IOB,IO_L02N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG27,,,GND,,,,,,,,,,,,,
AG28,led_o<0>,IOB,IO_L04N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG29,pc_data_o<11>,IOB,IO_L06P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG30,pc_data_o<18>,IOB,IO_L06N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH1,,DIFFS,IO_L03N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AH2,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,,
AH3,,,GND,,,,,,,,,,,,,
AH4,,DIFFM,IO_L04P_3,UNUSED,,3,,,,,,,,,,
AH5,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,,
AH6,,,GNDA16,,,,,,,,,,,,,
AH7,,DIFFM,IO_L03P_4/D3,UNUSED,,4,,,,,,,,,,
AH8,,DIFFM,IO_L06P_4/VRN_4,UNUSED,,4,,,,,,,,,,
AH9,,DIFFS,IO_L45N_4,UNUSED,,4,,,,,,,,,,
AH10,,DIFFS,IO_L48N_4,UNUSED,,4,,,,,,,,,,
AH11,,DIFFM,IO_L48P_4,UNUSED,,4,,,,,,,,,,
AH12,,,GNDA18,,,,,,,,,,,,,
AH13,,DIFFM,IO_L57P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AH14,,,GND,,,,,,,,,,,,,
AH15,,DIFFS,IO_L75N_4/GCLK1S,UNUSED,,4,,,,,,,,,,
AH16,,DIFFM,IO_L75P_5/GCLK6P,UNUSED,,5,,,,,,,,,,
AH17,,,GND,,,,,,,,,,,,,
AH18,,DIFFS,IO_L57N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AH19,,,GNDA19,,,,,,,,,,,,,
AH20,,DIFFS,IO_L48N_5,UNUSED,,5,,,,,,,,,,
AH21,,DIFFM,IO_L48P_5,UNUSED,,5,,,,,,,,,,
AH22,,DIFFM,IO_L45P_5,UNUSED,,5,,,,,,,,,,
AH23,,DIFFS,IO_L06N_5/VRP_5,UNUSED,,5,,,,,,,,,,
AH24,,DIFFS,IO_L03N_5/D4,UNUSED,,5,,,,,,,,,,
AH25,,,GNDA21,,,,,,,,,,,,,
AH26,pc_data_o<1>,IOB,IO_L02P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
