Release 7.1.03i - par H.41
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Mon Oct 10 17:19:29 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_gt11_map.ncd
#OUTPUT FILE:      my_gt11_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -12
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
B19,,,GNDA_102,,,,,,,,,,,,,
B20,,,AVCCAUXRXA_102,,,,,,,,,,,,,
B21,,,GNDA_102,,,,,,,,,,,,,
B22,,,VTTXA_102,,,,,,,,,,,,,
B23,,,AVCCAUXTX_102,,,,,,,,,,,,,
B24,,,VTTXB_102,,,,,,,,,,,,,
B25,,,GNDA_102,,,,,,,,,,,,,
B26,,,VTRXB_102,,,,,,,,,,,,,
C1,,OPAD,TXNPADA_113,UNUSED,,,,,,,,,,,,
C2,,,VTTXA_113,,,,,,,,,,,,,
C3,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,,
C4,,IOBM,IO_L14P_6,UNUSED,,6,,,,,,,,,,
C5,,,GND,,,,,,,,,,,,,
C6,,IOBS,IO_L10N_6,UNUSED,,6,,,,,,,,,,
C7,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,,
C8,,IOBS,IO_L7N_6,UNUSED,,6,,,,,,,,,,
C9,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,,
C10,,,VCCO_6,,,6,,,,,any******,,,,,
C11,,IOBM,IO_L27P_6,UNUSED,,6,,,,,,,,,,
C12,,LOWCAPIOB,IO_L6N_GC_LC_3,UNUSED,,3,,,,,,,,,,
C13,,LOWCAPIOB,IO_L6P_GC_LC_3,UNUSED,,3,,,,,,,,,,
C14,TXUSRCLK_IN,IOB,IO_L5P_GC_LC_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
C15,,,GND,,,,,,,,,,,,,
C16,,IOBS,IO_L30N_5,UNUSED,,5,,,,,,,,,,
C17,,IOBS,IO_L22N_5,UNUSED,,5,,,,,,,,,,
C18,,IOBM,IO_L22P_5,UNUSED,,5,,,,,,,,,,
C19,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,,
C20,,,VCCO_5,,,5,,,,,any******,,,,,
C21,,IOBS,IO_L10N_5,UNUSED,,5,,,,,,,,,,
C22,,IOBS,IO_L12N_VREF_5,UNUSED,,5,,,,,,,,,,
C23,,IOBM,IO_L12P_5,UNUSED,,5,,,,,,,,,,
C24,,LOWCAPIOB,IO_L9N_CC_LC_5,UNUSED,,5,,,,,,,,,,
C25,,,AVCCAUXMGT_102,,,,,,,,,,,,,
C26,,IPAD,RXPPADB_102,UNUSED,,,,,,,,,,,,
D1,,OPAD,TXPPADB_113,UNUSED,,,,,,,,,,,,
D2,,,AVCCAUXTX_113,,,,,,,,,,,,,
D3,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,,
D4,,IOBS,IO_L14N_6,UNUSED,,6,,,,,,,,,,
D5,,IOBM,IO_L12P_6,UNUSED,,6,,,,,,,,,,
D6,,LOWCAPIOB,IO_L8P_CC_LC_6,UNUSED,,6,,,,,,,,,,
D7,,,VCCO_6,,,6,,,,,any******,,,,,
D8,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,,
D9,,IOBM,IO_L13P_6,UNUSED,,6,,,,,,,,,,
D10,,IOBS,IO_L21N_6,UNUSED,,6,,,,,,,,,,
D11,,LOWCAPIOB,IO_L25N_CC_LC_6,UNUSED,,6,,,,,,,,,,
D12,,,GND,,,,,,,,,,,,,
D13,,LOWCAPIOB,IO_L4P_GC_LC_3,UNUSED,,3,,,,,,,,,,
D14,,LOWCAPIOB,IO_L3N_GC_LC_3,UNUSED,,3,,,,,,,,,,
D15,,LOWCAPIOB,IO_L3P_GC_LC_3,UNUSED,,3,,,,,,,,,,
D16,,IOBM,IO_L28P_5,UNUSED,,5,,,,,,,,,,
D17,,,VCCO_5,,,5,,,,,any******,,,,,
D18,,IOBM,IO_L20P_5,UNUSED,,5,,,,,,,,,,
D19,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,,
D20,,LOWCAPIOB,IO_L8N_CC_LC_5,UNUSED,,5,,,,,,,,,,
D21,,IOBM,IO_L10P_5,UNUSED,,5,,,,,,,,,,
D22,,,GND,,,,,,,,,,,,,
D23,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,,
D24,,LOWCAPIOB,IO_L9P_CC_LC_5,UNUSED,,5,,,,,,,,,,
D25,,,AVCCAUXRXB_102,,,,,,,,,,,,,
D26,,IPAD,RXNPADB_102,UNUSED,,,,,,,,,,,,
E1,,OPAD,TXNPADB_113,UNUSED,,,,,,,,,,,,
E2,,,VTTXB_113,,,,,,,,,,,,,
E3,,IOBM,IO_L20P_6,UNUSED,,6,,,,,,,,,,
E4,,,VCCO_6,,,6,,,,,any******,,,,,
E5,,IOBS,IO_L12N_VREF_6,UNUSED,,6,,,,,,,,,,
E6,,LOWCAPIOB,IO_L8N_CC_LC_6,UNUSED,,6,,,,,,,,,,
E7,,IOBS,IO_L5N_6,UNUSED,,6,,,,,,,,,,
E8,,IOBM,IO_L5P_6,UNUSED,,6,,,,,,,,,,
E9,,,GND,,,,,,,,,,,,,
